"BillType","BillNumber","Sequence","Sponsor","Type","Status","SponDate","WithDate","ModDate"
"S",2061,3,"Cruz-Perez, Nilsa I.","C","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2061,4,"Amato, Carmen F.","C","A",10/24/2024 0:00:00,,10/24/2024 0:00:00
"S",2062,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2063,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2064,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2064,2,"Greenstein, Linda R.","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2064,3,"Turner, Shirley K.","C","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2064,4,"Diegnan, Patrick J.","C","A",11/10/2025 0:00:00,,11/10/2025 0:00:00
"S",2064,5,"Johnson, Gordon M.","C","A",12/8/2025 0:00:00,,12/8/2025 0:00:00
"S",2065,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2066,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2067,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2067,2,"Greenstein, Linda R.","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2068,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2069,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2070,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2070,2,"Polistina, Vincent J.","P","A",5/9/2024 0:00:00,,5/10/2024 0:00:00
"S",2070,3,"Sarlo, Paul A.","C","A",5/16/2024 0:00:00,,5/16/2024 0:00:00
"S",2070,4,"Turner, Shirley K.","C","A",6/24/2024 0:00:00,,6/24/2024 0:00:00
"S",2071,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2071,2,"Zwicker, Andrew","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2071,3,"Beach, James","C","A",4/8/2024 0:00:00,,4/8/2024 0:00:00
"S",2071,4,"Singleton, Troy","C","A",4/8/2024 0:00:00,,4/8/2024 0:00:00
"S",2072,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2072,2,"Pou, Nellie","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2073,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2073,2,"Singleton, Troy","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2073,3,"Turner, Shirley K.","C","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2074,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2075,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2075,2,"Beach, James","P","A",1/25/2024 0:00:00,,1/25/2024 0:00:00
"S",2075,3,"Burgess, Renee C.","C","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2076,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2077,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2078,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/18/2024 0:00:00
"S",2078,2,"Greenstein, Linda R.","P","A",12/5/2024 0:00:00,,12/5/2024 0:00:00
"S",2078,3,"Singleton, Troy","C","A",5/16/2024 0:00:00,,5/16/2024 0:00:00
"S",2078,4,"Turner, Shirley K.","C","A",6/10/2024 0:00:00,,6/10/2024 0:00:00
"S",2078,5,"Diegnan, Patrick J.","C","A",9/19/2024 0:00:00,,9/19/2024 0:00:00
"S",2078,6,"Cruz-Perez, Nilsa I.","C","A",2/25/2025 0:00:00,,2/25/2025 0:00:00
"S",2078,7,"Timberlake, Britnee N.","C","A",3/17/2025 0:00:00,,3/17/2025 0:00:00
"S",2078,8,"Bramnick, Jon M.","C","A",3/17/2025 0:00:00,,3/17/2025 0:00:00
"S",2078,9,"Cryan, Joseph P.","C","A",3/17/2025 0:00:00,,3/17/2025 0:00:00
"S",2078,10,"Burgess, Renee C.","C","A",3/17/2025 0:00:00,,3/17/2025 0:00:00
"S",2078,11,"Wimberly, Benjie E.","C","A",3/17/2025 0:00:00,,3/17/2025 0:00:00
"S",2079,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2079,2,"Stack, Brian P.","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
